SAR_1_PREDICTION,SAR_0_PREDICTION,SAR_PREDICTION,THRESHOLD,POSITIVE_CLASS,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ALERT,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP,association_id
0.000173913,0.999826087,0,0.1,1,avgTxnSize90d,4.642855517,536.59,+++,creditScore,4.113003879,769,+++,overpaymentAmt90d,-1.351067547,0,--,totalMerchCred90d,-0.897630051,0,--,totalSpend90d,-0.821962137,2682.95,--,totalPaymentAmt90d,-0.818316127,134.15,--,nbrCustReqRefunds90d,-0.723128004,1,--,,,,,,,,,,,,,APPROVED,1,0,12200,0,769,ME,5,536.59,2682.95,  transfer billing address statement,1,0,0,0,0,5,134.15,0,0,1,1,26.18,0,11000,1,5,0,6,1,0,10
0.000233333,0.999766667,0,0.1,1,totalSpend90d,-3.550772785,4054.49,---,totalPaymentAmt90d,3.323918028,4054.49,+++,overpaymentAmt90d,-1.305258301,0,--,totalMerchCred90d,-1.108743928,129.83,--,nbrCustReqRefunds90d,-0.639615007,1,--,avgTxnSize90d,-0.435316787,130.79,-,income,-0.080485915,141000,-,tenureMonths,-0.030546501,16,-,creditScore,-0.02373907,781,-,maxRevolveLine,0,15000,<+,APPROVED,1,2,141000,16,781,PA,31,130.79,4054.49,billing address billing address late payment,19,1,0,129.83,0,2,4054.49,0,0,1,1,71.7,0,15000,1,8,0,7,2,0,11
0.195155445,0.804844555,1,0.1,1,nbrCustReqRefunds90d,11.13300643,2,+++,avgTxnSize90d,-0.229495045,0,-,overpaymentAmt90d,0.218390764,60,+,income,-0.075351645,nan,-,tenureMonths,0.057954472,2,+,maxRevolveLine,0.043838382,17000,+,creditScore,0.038088751,731,+,totalPaymentAmt90d,0.019303453,60,+,state,-0.019125086,NY,-,totalSpend90d,0.01873448,0,+,APPROVED,1,3,,2,731,NY,99,0,0, ,55,12,4,0,7,3,60,60,1,2,1,60,0,17000,0,5,0,5,1,0,12
0.0001,0.9999,0,0.1,1,avgTxnSize90d,3.958612732,127.74,+++,totalPaymentAmt90d,-1.692303657,766.44,--,overpaymentAmt90d,-1.222982806,0,--,totalSpend90d,-1.122351794,766.44,--,totalMerchCred90d,-0.908721622,135,--,nbrCustReqRefunds90d,-0.75150484,1,--,maxRevolveLine,0,20000,<-,creditScore,0,678,<-,csrNotes,0,nan,<-,tenureMonths,0,7,<-,APPROVED,1,0,7500,7,678,PA,6,127.74,766.44, ,3,1,1,135,1,6,766.44,0,0,1,1,61.81,1,20000,1,0,0,6,1,0,13
0,1,0,0.1,1,totalSpend90d,-2.926425609,2236.28,---,overpaymentAmt90d,-2.900814186,0,---,totalPaymentAmt90d,-2.862868437,111.81,---,totalMerchCred90d,-1.332582211,303.91,--,nbrCustReqRefunds90d,-1.206787927,1,--,avgTxnSize90d,-0.460526919,30.22,-,maxRevolveLine,0,8000,<+,creditScore,0,656,<+,tenureMonths,0,3,<+,income,0,69700,<+,APPROVED,1,0,69700,3,656,CT,74,30.22,2236.28,late payment change request transfer,35,10,1,303.91,6,5,111.81,0,0,1,1,48.76,5,8000,1,2,0,5,0,0,14
0.010187987,0.989812013,0,0.1,1,totalMerchCred90d,3.178197578,968.49,+++,totalSpend90d,-0.769924262,3767.6,--,avgTxnSize90d,0.47129524,470.95,++,overpaymentAmt90d,-0.414500205,0,--,nbrCustReqRefunds90d,-0.27129843,1,--,totalPaymentAmt90d,0.18342653,3767.6,+,csrNotes,0.0265481,nan,+,income,-0.016184338,16200,-,maxRevolveLine,-0.010808467,11000,-,tenureMonths,-0.003732278,8,<-,APPROVED,1,0,16200,8,723,NY,8,470.95,3767.6, ,5,2,1,968.49,0,5,3767.6,0,0,1,1,84.56,5,11000,0,1,0,5,0,0,15
0.000114286,0.999885714,0,0.1,1,creditScore,4.738814871,690,+++,overpaymentAmt90d,-1.123521401,0,--,totalPaymentAmt90d,1.070313231,73,++,totalMerchCred90d,-0.8610514,0,--,nbrCustReqRefunds90d,-0.767677689,1,--,totalSpend90d,-0.729994286,73,--,avgTxnSize90d,-0.062870868,36.5,-,maxRevolveLine,0,9000,<-,csrNotes,0,nan,<-,tenureMonths,0,32,<-,APPROVED,1,1,26400,32,690,NY,2,36.5,73, ,1,0,0,0,0,3,73,0,0,1,1,90.28,0,9000,1,3,0,10,0,0,16
0.516023511,0.483976489,1,0.1,1,totalMerchCred90d,0.914781569,8275.5,+++,totalPaymentAmt90d,-0.304163138,149973.37,--,overpaymentAmt90d,-0.230459541,61193.35,--,totalSpend90d,0.23016295,88780.02,++,income,-0.068759268,160000,-,tenureMonths,0.038673148,15,+,nbrCustReqRefunds90d,0.033209709,1,+,avgTxnSize90d,0.00896205,145.78,+,maxRevolveLine,0.003334038,7000,+,csrNotes,0.002882432,nan,+,APPROVED,1,2,160000,15,731,ME,609,145.78,88780.02, ,270,58,8,8275.5,23,2,149973.37,61193.35,1,1,1,61235.41,2,7000,1,2,0,6,1,0,17
0.337385377,0.662614623,1,0.1,1,overpaymentAmt90d,0.30908825,2593.34,+++,maxRevolveLine,-0.139238167,16000,--,tenureMonths,0.137876709,21,++,totalPaymentAmt90d,-0.115116355,2708.4,--,nbrCustReqRefunds90d,0.080299156,3,++,creditScore,0.066392806,697,++,state,-0.04902927,CT,--,avgTxnSize90d,-0.023899143,57.53,-,income,-0.013490771,14000,-,totalMerchCred90d,0.012295615,0,+,APPROVED,1,1,14000,21,697,CT,2,57.53,115.06,card replace change request billing address atm denied,1,0,0,0,0,3,2708.4,2593.34,1,3,1,2658.43,3,16000,0,2,0,9,2,0,18
0.000604396,0.999395604,0,0.1,1,state,3.224859026,CT,+++,income,2.152319314,0,++,totalMerchCred90d,-1.367028747,0,--,totalPaymentAmt90d,-0.990416505,60,--,tenureMonths,0.903846223,43,++,creditScore,-0.89126162,735,--,avgTxnSize90d,-0.844114552,24.05,--,totalSpend90d,-0.803432765,0,--,nbrCustReqRefunds90d,-0.643480123,1,--,overpaymentAmt90d,-0.442281027,60,-,APPROVED,1,1,0,43,735,CT,0,24.05,0, ,0,0,0,0,0,5,60,60,1,1,1,60,0,12000,1,2,0,5,2,0,19
0.193239597,0.806760403,1,0.1,1,nbrCustReqRefunds90d,4.036851569,2,+++,totalSpend90d,-0.213491629,0,-,overpaymentAmt90d,0.19955278,60,+,avgTxnSize90d,-0.117932722,113.42,-,maxRevolveLine,-0.094613658,8000,-,income,-0.090872712,700,-,tenureMonths,0.042787743,2,+,totalMerchCred90d,-0.016300287,0,-,totalPaymentAmt90d,0.012280721,60,+,state,-0.007413471,NJ,-,APPROVED,1,0,700,2,770,NJ,0,113.42,0, ,0,0,0,0,0,3,60,60,1,2,1,60,0,8000,1,5,0,6,3,0,20
0.000537374,0.999462626,0,0.1,1,totalSpend90d,-3.015495364,3250.44,---,overpaymentAmt90d,-0.957928773,0,--,avgTxnSize90d,-0.780138389,361.16,--,totalPaymentAmt90d,0.734367382,3250.44,++,totalMerchCred90d,-0.723582146,0,--,nbrCustReqRefunds90d,-0.574787912,1,--,income,0.246397827,8200,+,csrNotes,0.165277685,nan,+,creditScore,-0.131044497,733,-,tenureMonths,-0.04873636,5,-,APPROVED,1,1,8200,5,733,CT,9,361.16,3250.44, ,3,0,0,0,0,6,3250.44,0,0,1,1,60.91,0,9000,1,4,1,9,0,0,21
0.342236212,0.657763788,1,0.1,1,nbrCustReqRefunds90d,4.973624571,2,+++,income,0.363047619,17900,++,overpaymentAmt90d,0.155850205,60,+,totalSpend90d,0.15572299,0,+,csrNotes,0.120637615,password change password change change request,+,totalMerchCred90d,0.081953309,0,+,maxRevolveLine,0.075163009,15000,+,tenureMonths,0.049788972,32,+,totalPaymentAmt90d,0.044994713,60,+,creditScore,-0.039372589,704,-,APPROVED,1,3,17900,32,704,MA,0,169.01,0,password change password change change request,0,0,0,0,0,6,60,60,1,2,1,60,0,15000,0,5,0,14,1,0,22
0.424588766,0.575411234,1,0.1,1,overpaymentAmt90d,-1.930144126,2666.86,---,totalPaymentAmt90d,-0.258249374,31405.18,--,totalSpend90d,-0.23501475,28738.32,--,tenureMonths,-0.146743236,2,-,totalMerchCred90d,0.141933142,2217.12,+,csrNotes,-0.137131404,  card replace   bitcoin,-,nbrCustReqRefunds90d,0.039525028,1,+,avgTxnSize90d,-0.037915306,552.66,-,income,-0.013784831,22800,-,state,-0.012702923,ME,-,APPROVED,1,0,22800,2,683,ME,52,552.66,28738.32,  card replace   bitcoin,23,4,0,2217.12,3,3,31405.18,2666.86,1,1,1,2713.84,3,15000,0,1,0,5,0,0,23
0.001802135,0.998197865,0,0.1,1,totalSpend90d,-0.948070821,0,---,totalPaymentAmt90d,-0.808575363,60,--,totalMerchCred90d,-0.808368824,0,--,income,0.623880232,3100,++,nbrCustReqRefunds90d,-0.56432904,1,--,avgTxnSize90d,0.320566623,286.83,++,overpaymentAmt90d,-0.228653519,60,--,csrNotes,0.085013977,nan,+,tenureMonths,-0.06904123,14,-,creditScore,-0.062287641,697,-,APPROVED,1,0,3100,14,697,NY,0,286.83,0, ,0,0,0,0,0,3,60,60,1,1,1,60,0,7000,0,1,0,13,2,0,24
0,1,0,0.1,1,totalPaymentAmt90d,-2.988423053,415.06,---,overpaymentAmt90d,-2.767158073,0,---,totalSpend90d,-2.28935081,415.06,---,totalMerchCred90d,-1.301832249,0,--,nbrCustReqRefunds90d,-1.263488235,1,--,avgTxnSize90d,-0.599186363,207.53,--,maxRevolveLine,0,11000,<+,creditScore,0,750,<+,tenureMonths,0,1,<+,income,0,24300,<+,APPROVED,1,2,24300,1,750,NY,2,207.53,415.06,billing address transfer plastic replace statement,1,0,0,0,0,4,415.06,0,0,1,1,45.87,0,11000,1,6,0,8,0,0,25
0,1,0,0.1,1,totalPaymentAmt90d,-3.055655885,1500.48,---,overpaymentAmt90d,-2.892307453,0,---,totalSpend90d,-2.257961969,1500.48,--,totalMerchCred90d,-1.293137012,82.73,--,nbrCustReqRefunds90d,-1.233954497,1,--,avgTxnSize90d,-0.621510722,83.36,--,maxRevolveLine,0,9000,<+,creditScore,0,683,<+,tenureMonths,0,3,<+,income,0,32800,<+,APPROVED,1,1,32800,3,683,PA,18,83.36,1500.48,password change card replace change request,11,1,0,82.73,1,3,1500.48,0,0,1,1,45.27,0,9000,1,2,0,5,0,0,26
0.000977056,0.999022944,0,0.1,1,avgTxnSize90d,2.736824042,564.18,+++,overpaymentAmt90d,-0.885148734,0,--,totalPaymentAmt90d,-0.56561686,366.72,--,nbrCustReqRefunds90d,-0.541908881,1,--,income,-0.305001463,26700,--,totalMerchCred90d,-0.244552814,563.36,-,totalSpend90d,0.171244508,7334.34,+,maxRevolveLine,-0.127618838,12000,-,tenureMonths,0.097265866,0,+,creditScore,-0.093676036,712,-,APPROVED,1,3,26700,0,712,MA,13,564.18,7334.34, ,4,1,0,563.36,0,5,366.72,0,0,1,1,24.9,5,12000,1,6,0,12,4,0,27
0,1,0,0.1,1,totalPaymentAmt90d,-3.487415558,1225.76,---,overpaymentAmt90d,-2.883018519,0,---,totalSpend90d,-2.257668498,1225.76,--,totalMerchCred90d,-1.294321331,151.55,--,nbrCustReqRefunds90d,-1.228186154,1,--,avgTxnSize90d,-0.621510722,153.22,--,maxRevolveLine,0,7000,<+,creditScore,0,693,<+,tenureMonths,0,2,<+,income,0,18400,<+,APPROVED,1,1,18400,2,693,ME,8,153.22,1225.76, ,4,1,0,151.55,0,3,1225.76,0,0,1,1,27.54,2,7000,0,4,0,9,2,0,28
0.0009,0.9991,0,0.1,1,totalPaymentAmt90d,3.577738859,2481.6,+++,overpaymentAmt90d,-1.004580123,0,--,totalMerchCred90d,-0.986017968,122.52,--,totalSpend90d,-0.919674518,2481.6,--,nbrCustReqRefunds90d,-0.536824921,1,--,avgTxnSize90d,-0.419793732,124.08,--,tenureMonths,-0.339399865,15,-,csrNotes,0.047153248,nan,+,state,0,CT,<-,,,,,APPROVED,1,2,33400,15,689,CT,20,124.08,2481.6, ,13,1,0,122.52,0,3,2481.6,0,0,1,1,27.54,1,8000,0,4,0,7,1,0,29
0.003632876,0.996367124,0,0.1,1,csrNotes,2.252131087,billing address transfer   atm limit,+++,totalMerchCred90d,-2.10642446,625.1,---,totalSpend90d,-1.61342956,6168.96,--,overpaymentAmt90d,-0.618348426,0,--,totalPaymentAmt90d,-0.454997388,6168.96,--,income,-0.366817892,111600,-,nbrCustReqRefunds90d,-0.341758071,1,-,creditScore,0.277745304,756,+,tenureMonths,-0.077707485,2,-,state,-0.062663324,MA,-,APPROVED,1,2,111600,2,756,MA,96,64.26,6168.96,billing address transfer   atm limit,40,10,4,625.1,4,4,6168.96,0,0,1,1,62.38,4,15000,0,1,0,2,0,0,30
0.00084,0.99916,0,0.1,1,overpaymentAmt90d,4.413125499,11.77,+++,totalPaymentAmt90d,-1.093634003,148.17,--,totalMerchCred90d,-0.63482731,0,--,nbrCustReqRefunds90d,-0.508844946,1,--,totalSpend90d,-0.342802918,136.4,-,tenureMonths,-0.085509715,0,-,creditScore,-0.084282709,739,-,csrNotes,-0.028731741,nan,-,maxRevolveLine,-0.019611895,8000,-,avgTxnSize90d,0,27.28,<+,APPROVED,1,1,,0,739,ME,5,27.28,136.4, ,3,0,0,0,0,4,148.17,11.77,1,1,1,42.93,0,8000,1,3,0,6,1,0,31
0,1,0,0.1,1,totalPaymentAmt90d,-4.665275004,392.52,--,avgTxnSize90d,-4.049560774,356.84,--,creditScore,-3.561381468,710,--,overpaymentAmt90d,-2.898551407,0,--,totalSpend90d,-2.740232869,7850.48,--,maxRevolveLine,-2.359738317,12000,--,income,-1.431225559,26000,--,totalMerchCred90d,-1.378350948,356.5,--,nbrCustReqRefunds90d,-1.286286371,1,--,tenureMonths,-0.460526919,33,-,APPROVED,1,1,26000,33,710,MA,22,356.84,7850.48, ,8,1,0,356.5,0,4,392.52,0,0,1,1,56.86,4,12000,0,2,0,4,1,0,32
0.000202564,0.999797436,0,0.1,1,totalPaymentAmt90d,-2.276517864,60,--,income,2.125547053,6000,++,totalMerchCred90d,-2.068801966,0,--,creditScore,1.832953928,695,++,overpaymentAmt90d,-1.743486379,60,--,totalSpend90d,-1.662975585,0,--,csrNotes,1.064799914,nan,++,avgTxnSize90d,-0.971799498,2.93,--,tenureMonths,-0.732084897,3,-,nbrCustReqRefunds90d,-0.726355345,1,-,APPROVED,1,1,6000,3,695,NY,0,2.93,0, ,0,0,0,0,0,3,60,60,1,1,1,60,0,14000,1,4,0,9,0,0,33
0.83370166,0.16629834,1,0.1,1,totalMerchCred90d,3.14903235,2626.36,+++,totalSpend90d,0.75573197,19255.65,++,creditScore,0.211674372,691,+,tenureMonths,0.169058936,33,+,overpaymentAmt90d,0.154375462,0,+,avgTxnSize90d,-0.140295454,190.65,-,maxRevolveLine,0.095196852,15000,+,nbrCustReqRefunds90d,0.071804414,1,+,income,-0.059790018,103500,-,csrNotes,-0.049482677,password change   customer call moneyorder payment,-,APPROVED,1,3,103500,33,691,RI,101,190.65,19255.65,password change   customer call moneyorder payment,51,14,2,2626.36,6,3,19255.65,0,0,1,1,45.33,3,15000,0,4,0,6,0,0,34
0.001090744,0.998909256,0,0.1,1,overpaymentAmt90d,4.360695143,85.07,+++,totalPaymentAmt90d,-0.953681542,253.83,--,totalSpend90d,-0.674080815,168.76,--,totalMerchCred90d,-0.620626771,0,--,nbrCustReqRefunds90d,-0.590141463,1,--,maxRevolveLine,-0.273907627,15000,-,avgTxnSize90d,0.264312494,42.19,+,csrNotes,-0.127331611,nan,-,tenureMonths,-0.094503365,9,-,state,-0.024457423,NY,-,APPROVED,1,0,17500,9,667,NY,4,42.19,168.76, ,2,0,0,0,0,3,253.83,85.07,1,1,1,115.75,0,15000,1,4,0,9,2,0,35
0,1,0,0.1,1,totalPaymentAmt90d,-2.812482147,2063.17,---,overpaymentAmt90d,-2.759522907,0,---,totalSpend90d,-2.339266584,2268.45,---,totalMerchCred90d,-1.76180352,236.95,--,nbrCustReqRefunds90d,-1.188078772,1,--,avgTxnSize90d,-0.645912485,31.95,--,maxRevolveLine,0,15000,<+,creditScore,0,723,<+,tenureMonths,0,5,<+,income,0,141400,<+,APPROVED,1,0,141400,5,723,NY,71,31.95,2268.45,customer call customer call customer call,36,7,2,236.95,3,5,2063.17,0,0,1,1,67.48,3,15000,1,4,0,8,4,0,36
0.321251447,0.678748553,1,0.1,1,overpaymentAmt90d,2.53764375,2527.67,+++,totalPaymentAmt90d,0.24384852,2665.77,++,tenureMonths,0.174214614,19,++,maxRevolveLine,-0.105678692,8000,-,totalSpend90d,-0.080023964,138.1,-,totalMerchCred90d,0.070582741,26.32,+,csrNotes,0.061512042,nan,+,income,0.060010775,30600,+,state,-0.028288193,NY,-,avgTxnSize90d,-0.019586309,13.81,-,APPROVED,1,1,30600,19,658,NY,10,13.81,138.1, ,3,2,0,26.32,1,4,2665.77,2527.67,1,1,1,2569.16,4,8000,1,2,1,9,0,0,37
